"id","nombre","descripcion","pic","nasc","muerte","ciudadania"
"Q15948","Émile Durkheim","sociólogo francés positivista","http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Durkheim.jpg","","","Q15948"
"Q150379","Edward Evan Evans-Pritchard","antropólogo inglés","http://commons.wikimedia.org/wiki/Special:FilePath/Bust%20of%20E.%20E.%20Evans-Pritchard.jpg","","","Q150379"
"Q135576","Alfred Reginald Radcliffe-Brown","antropólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Radcliffe-Brown.jpg","-2807136000","-447811200","Q135576"
"Q184366","Thomas Henry Huxley","English biologist and comparative anatomist (1825-1895)","http://commons.wikimedia.org/wiki/Special:FilePath/T.H.Huxley%28Woodburytype%29.jpg","","","Q184366"
"Q588320","William Rivers","English anthropologist, neurologist, ethnologist and psychiatrist","http://commons.wikimedia.org/wiki/Special:FilePath/W.H.R.Rivers%20%28Maull%29.jpg","","","Q588320"
"Q5045075","Caroline Furness Jayne","etnóloga estadounidense","http://commons.wikimedia.org/wiki/Special:FilePath/Mrs.%20Horace%20Jayne%20%28Caroline%20Furness%20Jayne%29%20portrait%20by%20William%20Merritt%20Chase.jpg","","","Q5045075"
"Q523016","Alfred Cort Haddon","antropólogo británico","http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Cort%20Haddon.%20Photograph.%20Wellcome%20V0026495.jpg","-3616704000","-937267200","Q523016"
"Q155547","Johann Gottfried Herder","filósofo, teólogo y crítico literario alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Gottfried%20Herder%202.jpg","","","Q155547"
"Q41532","Carl Gustav Jung","psicólogo y psiquiatra suizo","http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Jung%2C%20Carl%20Gustav%20%281875-1961%29-Portrait-Portr%2014163%20%28cropped%29.tif","","","Q41532"
"Q58793","Adolf Bastian","etnógrafo y antropólogo alemán","http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Bastian2.jpg","-4529001600","-2048457600","Q58793"
"id","nombre","descripcion","pic","nasc","muerte","ciudadania"
